Date : 2024-09-29 10:54:55
Directory : /home/dana/Documents/Projects/Python/PyPlate
Total : 588 files,  169647 codes, 13402 comments, 27365 blanks, all 210414 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal (Files)                                                                                   |          9 |      1,897 |        172 |        463 |      2,532 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli                                                                                       |         12 |      2,139 |        201 |        430 |      2,770 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands                                                                                  |         18 |      2,781 |        119 |        530 |      3,430 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/distributions                                                                             |          5 |        227 |         22 |         53 |        302 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/index                                                                                     |          4 |      1,461 |         71 |        293 |      1,825 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/locations                                                                                 |          4 |        685 |         83 |        169 |        937 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/metadata                                                                                  |          8 |      1,318 |         56 |        303 |      1,677 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/metadata (Files)                                                                          |          4 |        940 |         38 |        218 |      1,196 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/metadata/importlib                                                                        |          4 |        378 |         18 |         85 |        481 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/models                                                                                    |         12 |      1,076 |        111 |        261 |      1,448 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/network                                                                                   |          8 |      1,236 |        214 |        301 |      1,751 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/operations                                                                                |          7 |      1,446 |        229 |        286 |      1,961 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/operations (Files)                                                                        |          4 |        881 |        135 |        160 |      1,176 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/operations/install                                                                        |          3 |        565 |         94 |        126 |        785 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/req                                                                                       |          6 |      2,297 |        193 |        429 |      2,919 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/resolution                                                                                |         13 |      2,403 |        274 |        477 |      3,154 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/resolution (Files)                                                                        |          2 |         15 |          0 |          7 |         22 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/resolution/legacy                                                                         |          2 |        448 |         70 |         82 |        600 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/resolution/resolvelib                                                                     |          9 |      1,940 |        204 |        388 |      2,532 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/utils                                                                                     |         27 |      2,778 |        280 |        719 |      3,777 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_internal/vcs                                                                                       |          6 |      1,460 |        127 |        264 |      1,851 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor                                                                                             |        345 |    129,503 |      6,389 |     16,661 |    152,553 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor (Files)                                                                                     |          3 |      3,144 |        273 |        777 |      4,194 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/cachecontrol                                                                                |         12 |      1,084 |        204 |        310 |      1,598 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/cachecontrol (Files)                                                                        |          9 |        925 |        175 |        258 |      1,358 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/cachecontrol/caches                                                                         |          3 |        159 |         29 |         52 |        240 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/certifi                                                                                     |          3 |         69 |         38 |         31 |        138 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/chardet                                                                                     |         48 |     39,303 |      1,440 |        587 |     41,330 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/chardet (Files)                                                                             |         44 |     38,901 |      1,404 |        557 |     40,862 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/chardet/cli                                                                                 |          2 |         94 |          2 |         18 |        114 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/chardet/metadata                                                                            |          2 |        308 |         34 |         12 |        354 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/colorama                                                                                    |         13 |      1,288 |        106 |        298 |      1,692 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/colorama (Files)                                                                            |          6 |        662 |         79 |        147 |        888 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/colorama/tests                                                                              |          7 |        626 |         27 |        151 |        804 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/distlib                                                                                     |         13 |      8,447 |        768 |      1,443 |     10,658 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/distro                                                                                      |          3 |      1,090 |         90 |        280 |      1,460 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/idna                                                                                        |          8 |     11,158 |         18 |        208 |     11,384 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/msgpack                                                                                     |          4 |      1,072 |         30 |        210 |      1,312 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/packaging                                                                                   |         11 |      2,010 |        336 |        593 |      2,939 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pkg_resources                                                                               |          1 |      2,548 |        154 |        660 |      3,362 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/platformdirs                                                                                |          8 |      1,342 |         18 |        273 |      1,633 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments                                                                                    |         35 |      8,491 |        430 |      1,498 |     10,419 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments (Files)                                                                            |         16 |      2,650 |        194 |        583 |      3,427 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments/filters                                                                            |          1 |        858 |          3 |         80 |        941 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments/formatters                                                                         |         14 |      3,006 |        139 |        680 |      3,825 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments/lexers                                                                             |          3 |      1,887 |         91 |        144 |      2,122 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pygments/styles                                                                             |          1 |         90 |          3 |         11 |        104 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyparsing                                                                                   |         11 |      8,596 |        505 |      1,823 |     10,924 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyparsing (Files)                                                                           |         10 |      8,079 |        446 |      1,742 |     10,267 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyparsing/diagram                                                                           |          1 |        517 |         59 |         81 |        657 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyproject_hooks                                                                             |          5 |        573 |         11 |        153 |        737 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyproject_hooks (Files)                                                                     |          3 |        285 |          4 |         75 |        364 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/pyproject_hooks/_in_process                                                                 |          2 |        288 |          7 |         78 |        373 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/requests                                                                                    |         18 |      3,927 |        424 |      1,084 |      5,435 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/resolvelib                                                                                  |          7 |        708 |         33 |        191 |        932 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/resolvelib (Files)                                                                          |          5 |        703 |         33 |        188 |        924 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/resolvelib/compat                                                                           |          2 |          5 |          0 |          3 |          8 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/rich                                                                                        |         77 |     22,291 |        211 |      3,138 |     25,640 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/tenacity                                                                                    |         11 |      1,085 |        206 |        371 |      1,662 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/tomli                                                                                       |          4 |        629 |         60 |        134 |        823 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/truststore                                                                                  |          6 |      1,130 |         97 |        246 |      1,473 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3                                                                                     |         39 |      8,591 |        910 |      2,192 |     11,693 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3 (Files)                                                                             |         11 |      3,269 |        331 |        858 |      4,458 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/contrib                                                                             |         10 |      2,273 |        247 |        541 |      3,061 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/contrib (Files)                                                                     |          7 |      1,574 |        187 |        381 |      2,142 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/contrib/_securetransport                                                            |          3 |        699 |         60 |        160 |        919 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/packages                                                                            |          5 |        972 |         69 |        246 |      1,287 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/packages (Files)                                                                    |          2 |        805 |         53 |        220 |      1,078 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/packages/backports                                                                  |          3 |        167 |         16 |         26 |        209 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/urllib3/util                                                                                |         13 |      2,077 |        263 |        547 |      2,887 |
| .venv-pyplate/lib/python3.12/site-packages/pip/_vendor/webencodings                                                                                |          5 |        927 |         27 |        161 |      1,115 |
| .venv-pyplate/lib/python3.12/site-packages/pygtkcompat                                                                                             |          3 |        757 |         81 |        239 |      1,077 |
| lib                                                                                                                                                |         19 |      2,095 |      1,918 |      1,102 |      5,115 |
| lib/cnapplib                                                                                                                                       |          8 |        747 |        965 |        485 |      2,197 |
| lib/cnapplib (Files)                                                                                                                               |          4 |        235 |        210 |        130 |        575 |
| lib/cnapplib/dead                                                                                                                                  |          4 |        512 |        755 |        355 |      1,622 |
| lib/cninstall                                                                                                                                      |          5 |        324 |        302 |        186 |        812 |
| lib/cninstall (Files)                                                                                                                              |          3 |        280 |        266 |        166 |        712 |
| lib/cninstall/tests                                                                                                                                |          2 |         44 |         36 |         20 |        100 |
| lib/cnlib                                                                                                                                          |          6 |      1,024 |        651 |        431 |      2,106 |
| misc                                                                                                                                               |          4 |        147 |        129 |         92 |        368 |
| src                                                                                                                                                |          3 |      1,813 |      1,049 |        704 |      3,566 |
| src (Files)                                                                                                                                        |          2 |      1,296 |        822 |        610 |      2,728 |
| src/support                                                                                                                                        |          1 |        517 |        227 |         94 |        838 |
| src/support/conf                                                                                                                                   |          1 |        517 |        227 |         94 |        838 |
| template                                                                                                                                           |         24 |        814 |        403 |        258 |      1,475 |
| template/all                                                                                                                                       |         14 |        264 |        196 |        126 |        586 |
| template/all (Files)                                                                                                                               |          4 |        111 |         10 |         22 |        143 |
| template/all/conf                                                                                                                                  |          1 |         11 |          0 |          0 |         11 |
| template/all/dist                                                                                                                                  |          1 |         21 |         27 |         13 |         61 |
| template/all/misc                                                                                                                                  |          4 |        107 |        103 |         72 |        282 |
| template/all/pyplate                                                                                                                               |          4 |         14 |         56 |         19 |         89 |
| template/all/pyplate/nope                                                                                                                          |          4 |         14 |         56 |         19 |         89 |
| template/gui                                                                                                                                       |          7 |        508 |        123 |         84 |        715 |
| template/gui (Files)                                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| template/gui/src                                                                                                                                   |          6 |        506 |        123 |         84 |        713 |
| template/gui/src (Files)                                                                                                                           |          2 |        151 |        104 |         76 |        331 |
| template/gui/src/support                                                                                                                           |          4 |        355 |         19 |          8 |        382 |
| template/gui/src/support/desktop                                                                                                                   |          2 |         20 |         16 |          6 |         42 |
| template/gui/src/support/ui                                                                                                                        |          2 |        335 |          3 |          2 |        340 |
| template/pkg                                                                                                                                       |          3 |         42 |         84 |         48 |        174 |
| template/pkg/src                                                                                                                                   |          2 |         31 |         41 |         28 |        100 |
| template/pkg/src/__PP_NAME_SMALL__                                                                                                                 |          2 |         31 |         41 |         28 |        100 |
| template/pkg/tests                                                                                                                                 |          1 |         11 |         43 |         20 |         74 |
| tests                                                                                                                                              |          2 |         26 |         31 |         20 |         77 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/details.md                                                         | Markdown         |         48 |          0 |          6 |         54 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff-details.md                                                    | Markdown         |          9 |          0 |          6 |         15 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/diff.md                                                            | Markdown         |         12 |          0 |          7 |         19 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.json                                                       | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-04-17_08-36-35/results.md                                                         | Markdown         |         39 |          0 |          7 |         46 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/details.md                                                         | Markdown         |         57 |          0 |          6 |         63 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/diff-details.md                                                    | Markdown         |         59 |          0 |          6 |         65 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/diff.md                                                            | Markdown         |         48 |          0 |          7 |         55 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/results.json                                                       | JSON             |          1 |          0 |          0 |          1 |
| /home/dana/Documents/Projects/Python/PyPlate/.VSCodeCounter/2024-09-06_15-49-20/results.md                                                         | Markdown         |         46 |          0 |          7 |         53 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/bin/Activate.ps1                                                                        | PowerShell       |        108 |        106 |         34 |        248 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/bin/activate.csh                                                                        | Shell Script     |         12 |          5 |         11 |         28 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/bin/activate.fish                                                                       | Shell Script     |         42 |         14 |         14 |         70 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/include/site/python3.12/pygobject/pygobject-3.0/pygobject.h                             | C++              |        370 |        208 |         63 |        641 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/__init__.py                                          | Python           |         14 |          3 |          9 |         26 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/__init__.pyi                                         | Python           |      4,614 |          6 |      1,270 |      5,890 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/cairo/include/py3cairo.h                                   | C++              |        173 |         42 |         52 |        267 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/__init__.py                                             | Python           |        107 |         22 |         47 |        176 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_constants.py                                           | Python           |         27 |         18 |          3 |         48 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_error.py                                               | Python           |         21 |         25 |         10 |         56 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_gtktemplate.py                                         | Python           |        213 |         23 |         72 |        308 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_option.py                                              | Python           |        288 |         21 |         71 |        380 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_ossighelper.py                                         | Python           |        159 |         29 |         52 |        240 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_propertyhelper.py                                      | Python           |        306 |         40 |         57 |        403 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/_signalhelper.py                                        | Python           |        175 |         29 |         46 |        250 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/docstring.py                                            | Python           |        138 |         28 |         40 |        206 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/importer.py                                             | Python           |         84 |         37 |         33 |        154 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/module.py                                               | Python           |        177 |         46 |         47 |        270 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/GIMarshallingTests.py                         | Python           |         30 |         23 |         20 |         73 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/GLib.py                                       | Python           |        577 |        109 |        199 |        885 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/GObject.py                                    | Python           |        456 |         73 |        141 |        670 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/Gdk.py                                        | Python           |        333 |         51 |        101 |        485 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/GdkPixbuf.py                                  | Python           |         25 |         16 |         13 |         54 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/Gio.py                                        | Python           |        374 |         44 |        133 |        551 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/Gtk.py                                        | Python           |      1,222 |         61 |        423 |      1,706 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/Pango.py                                      | Python           |         23 |         19 |         17 |         59 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/__init__.py                                   | Python           |        249 |         27 |         72 |        348 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/overrides/keysyms.py                                    | Python           |         26 |         19 |          9 |         54 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/pygtkcompat.py                                          | Python           |         20 |          1 |          6 |         27 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/repository/__init__.py                                  | Python           |          5 |         19 |          5 |         29 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/gi/types.py                                                | Python           |        222 |         60 |         69 |        351 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/__init__.py                                            | Python           |          8 |          0 |          6 |         14 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/__main__.py                                            | Python           |         10 |         10 |          5 |         25 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/__pip-runner__.py                                      | Python           |         29 |          4 |         18 |         51 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/__init__.py                                  | Python           |         10 |          2 |          7 |         19 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/build_env.py                                 | Python           |        252 |         15 |         45 |        312 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cache.py                                     | Python           |        221 |         19 |         51 |        291 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/__init__.py                              | Python           |          2 |          1 |          2 |          5 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/autocompletion.py                        | Python           |        135 |         19 |         19 |        173 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/base_command.py                          | Python           |        175 |         22 |         40 |        237 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/cmdoptions.py                            | Python           |        883 |         38 |        154 |      1,075 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/command_context.py                       | Python           |         20 |          0 |          8 |         28 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/main.py                                  | Python           |         34 |         30 |         16 |         80 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/main_parser.py                           | Python           |         82 |         24 |         29 |        135 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/parser.py                                | Python           |        222 |         20 |         53 |        295 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/progress_bars.py                         | Python           |         58 |          0 |         11 |         69 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/req_command.py                           | Python           |        408 |         29 |         69 |        506 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/spinners.py                              | Python           |        114 |         18 |         28 |        160 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/cli/status_codes.py                          | Python           |          6 |          0 |          1 |          7 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/__init__.py                         | Python           |        113 |          7 |         13 |        133 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/cache.py                            | Python           |        163 |         20 |         43 |        226 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/check.py                            | Python           |         45 |          0 |         10 |         55 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/completion.py                       | Python           |        116 |          5 |         10 |        131 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/configuration.py                    | Python           |        224 |         12 |         45 |        281 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/debug.py                            | Python           |        149 |          9 |         44 |        202 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/download.py                         | Python           |        117 |          2 |         29 |        148 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/freeze.py                           | Python           |         92 |          0 |         18 |        110 |
| /home/dana/Documents/Projects/Python/PyPlate/.venv-pyplate/lib/python3.12/site-packages/pip/_internal/commands/hash.py                             | Python           |         48 |          0 |         12 |         60 |
